Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
5,7,2,1.04,0,19,8,5,1,1,1.99,0.61,0.77,0.03,0.29,0.21,0.27,-0.26,0,5,0,0,1,14.97,60.5,88.44,1
2,4,2,0.34,1,18,5,5,4,1,1.39,0.51,0.81,0.05,0.24,0.28,0.4,-0.06,2,7,0,0,1,14.24,44.28,91.86,1
6,7,2,0.31,1,17,3,4,1,1,0.83,0.4,0.65,0.03,0.3,0.27,0.27,-0.17,1,6,0,0,1,14.92,57.83,88.99,1
16,6,3,0.36,0,17,2,7,3,0,0.49,0.26,0.95,0.05,0.12,0.14,0.18,-0.25,2,7,0,0,1,14.54,57.96,89,1
6,7,4,1.94,0,14,8,4,3,1,1.77,0.41,0.55,0.04,0.2,0.14,0.26,-0.09,1,6,0,0,1,14.47,55.07,89.49,1
4,4,1,0.37,0,10,8,7,3,1,0.88,0.46,0.67,0.04,0.24,0.26,0.17,-0.28,1,6,0,0,1,15.91,73.69,85.34,1
9,4,2,1.73,0,8,3,6,3,0,0.63,0.72,1.25,0.01,0.24,0.2,0.12,-0.22,0,5,0,0,1,14.53,52.31,90.61,1
11,4,4,1.08,1,9,5,4,1,0,0.93,0.33,1.42,0.01,0.23,0.23,0.12,-0.15,2,7,0,0,1,14.96,53.44,89.85,1
20,6,3,1.54,1,11,6,4,3,0,0.99,0.36,1.01,0.03,0.27,0.12,0.3,-0.08,0,5,0,0,1,14.45,47.16,91.3,1
5,7,4,1.16,1,12,7,7,1,1,0.72,0.6,0.95,0.02,0.21,0.17,0.35,-0.2,1,6,0,0,1,17.19,74.22,85.84,1
17,5,1,1.62,0,3,4,7,3,0,1.35,0.89,1.32,0.01,0.16,0.25,0.24,-0.24,0,5,0,0,1,14.35,48.38,90.96,1
7,7,1,0.49,1,6,10,5,1,0,1.23,0.79,1.12,0.03,0.22,0.12,0.25,-0.2,0,5,0,0,1,14.73,55.88,89.44,1
6,6,2,0.38,1,18,10,7,4,0,0.26,0.75,0.86,0.05,0.25,0.23,0.28,-0.26,0,5,0,0,1,16.65,70.8,85.97,1
5,4,4,1.86,0,1,9,6,3,0,0.78,0.78,0.81,0.04,0.18,0.27,0.24,-0.13,11,16,1,0,1,33.54,336.38,29.88,1
11,5,1,1.7,1,14,8,7,4,1,1.72,0.78,0.68,0.04,0.28,0.27,0.39,-0.18,0,5,0,0,1,20,100.59,79.7,1
14,6,2,1.78,1,20,7,5,2,1,0.94,0.72,1.31,0.03,0.21,0.11,0.27,-0.16,0,5,0,0,1,16.1,64.06,87.66,1
18,7,1,1.92,0,20,1,4,4,1,0.5,0.47,1.44,0.02,0.16,0.15,0.39,-0.17,7,12,0,0,1,14.64,55.21,89.65,1
2,4,3,1.42,0,14,3,6,2,0,1.08,0.37,1.01,0.03,0.23,0.18,0.37,-0.19,1,6,0,0,1,14.48,49.08,90.92,1
3,7,2,1.87,0,13,1,6,1,1,1.37,0.52,1.21,0.01,0.23,0.21,0.36,-0.24,0,5,0,0,1,14.25,46.12,91.78,1
5,6,2,1.31,0,11,9,4,4,0,1.41,0.29,1.29,0.05,0.28,0.27,0.28,-0.23,3,8,0,0,1,14.54,56.47,89.96,1
6,4,2,0.8,1,5,9,5,1,1,0.29,0.24,0.73,0.03,0.19,0.14,0.18,-0.26,4,9,0,0,1,16.79,80.99,83.86,1
15,6,2,0.54,0,10,2,4,1,0,0.41,0.5,1.3,0.02,0.12,0.26,0.32,-0.1,0,5,0,0,1,14.59,47.85,91.29,1
18,5,1,0.33,0,5,1,4,1,1,1.71,0.16,0.59,0.01,0.13,0.23,0.28,-0.2,0,5,0,0,1,14.49,47.79,91.02,1
4,7,4,0.55,1,17,4,7,1,0,1.02,0.12,1.29,0.04,0.22,0.25,0.33,-0.2,0,5,0,0,1,14.63,58.09,88.94,1
12,4,3,0.23,0,20,10,6,2,0,0.96,0.92,0.86,0.03,0.11,0.28,0.3,-0.19,0,5,0,0,1,16.2,61.37,88.2,1
7,7,3,0.87,1,4,10,5,3,1,0.3,0.78,0.64,0.01,0.16,0.17,0.21,-0.27,0,5,0,0,1,14.38,53.65,89.93,1
4,7,2,0.53,1,9,3,4,4,1,0.86,0.42,1.18,0.02,0.1,0.1,0.29,-0.14,0,5,0,0,1,14.31,45.26,91.67,1
13,6,2,1.28,1,7,7,6,1,1,0.85,0.12,1.21,0.01,0.14,0.12,0.37,-0.07,0,5,0,0,1,14.22,42.33,92.32,1
16,7,2,0.68,1,19,3,4,2,1,0.37,0.52,1.23,0.03,0.24,0.19,0.39,-0.17,0,5,0,0,1,15.2,54.13,89.66,1
13,6,1,1.94,1,17,9,7,4,0,1.02,0.95,1.31,0.02,0.2,0.24,0.29,-0.24,0,5,0,0,1,14.32,49.68,90.66,1
9,6,4,0.6,0,17,8,5,4,1,1.72,0.53,1.03,0.04,0.14,0.17,0.18,-0.3,0,5,0,0,1,14.42,56.93,89,1
6,6,3,0.6,1,4,5,5,2,0,1.71,0.25,1.19,0.02,0.18,0.28,0.4,-0.24,0,5,0,0,1,14.2,44.73,91.84,1
19,4,4,0.76,1,9,6,7,1,0,0.53,0.49,1.27,0.01,0.15,0.29,0.33,-0.03,0,5,0,0,1,14.27,42.74,92.32,1
11,5,4,1.85,0,4,3,5,1,1,0.89,0.89,0.86,0.04,0.14,0.27,0.38,-0.26,5,10,0,0,1,16.11,78.65,84.59,1
1,7,1,1.03,1,4,3,7,2,0,1.33,0.34,1.38,0.03,0.15,0.15,0.16,-0.21,0,5,0,0,1,14.44,48.68,90.86,1
14,4,2,0.72,1,17,4,5,3,1,0.25,0.55,1.39,0.05,0.11,0.22,0.23,-0.17,1,6,0,0,1,19.88,91.27,81.66,1
11,6,1,1.27,0,15,1,7,4,0,0.91,0.31,1.29,0.02,0.14,0.11,0.35,-0.15,0,5,0,0,1,15.46,56.88,0,1
13,7,2,0.58,0,1,10,5,3,1,0.52,0.45,1.16,0.02,0.22,0.27,0.27,-0.05,3,8,0,0,1,14.36,43.66,92,1
10,6,2,1.78,0,8,1,4,3,0,1.41,0.92,0.94,0.01,0.22,0.13,0.13,-0.25,0,5,0,0,1,15.22,57.72,88.83,1
11,7,3,1.86,1,12,7,4,4,0,0.64,0.86,0.93,0.04,0.24,0.27,0.22,-0.06,0,5,0,0,1,14.56,51.45,90.36,1
7,7,2,0.75,1,2,7,5,1,1,1.45,0.52,0.8,0.02,0.14,0.29,0.23,-0.26,0,5,0,0,1,14.37,53.87,89.94,1
3,7,3,0.94,0,9,4,6,1,1,1.4,0.48,1.05,0.04,0.21,0.13,0.31,-0.21,0,5,0,0,1,19,89.15,81.88,1
16,7,4,0.92,0,13,5,4,3,0,0.92,0.66,0.69,0.02,0.24,0.3,0.11,-0.16,0,5,0,0,1,15.22,63.2,87.91,1
15,5,2,1.73,1,11,5,7,3,0,1.17,0.94,1.04,0.03,0.21,0.11,0.26,-0.26,2,7,0,0,1,14.72,63.18,87.69,1
11,7,2,1.27,0,5,1,7,4,1,1.67,0.25,1.45,0.04,0.26,0.18,0.38,-0.18,0,5,0,0,1,15.15,56,89.32,1
6,6,3,1.04,0,17,9,7,2,1,1.9,0.75,1.01,0.02,0.3,0.21,0.38,-0.29,0,5,0,0,1,14.65,58.73,88.69,1
16,4,3,0.77,1,10,3,5,4,1,0.83,0.66,1.2,0.01,0.14,0.1,0.3,-0.23,0,5,0,0,1,14.28,45.79,91.72,1
4,6,4,0.4,0,7,4,6,3,0,1.67,0.19,1.4,0.01,0.18,0.12,0.26,-0.27,2,7,0,0,1,14.88,54.19,89.8,1
6,7,2,1.45,1,5,2,7,3,1,0.87,0.99,1.14,0.02,0.14,0.14,0.17,-0.18,3,8,0,0,1,16.27,70.96,86,1
5,6,4,0.48,1,10,8,7,3,1,0.91,0.84,0.8,0.03,0.18,0.14,0.38,-0.22,3,8,0,0,1,21,106.93,78.36,1
6,6,2,1.2,0,18,2,7,3,1,1.16,0.68,0.83,0.01,0.18,0.11,0.34,-0.02,0,5,0,0,1,14.28,42.9,92.16,1
3,6,2,0.91,0,11,6,5,2,1,0.3,0.83,1.06,0.02,0.14,0.28,0.39,-0.21,0,5,0,0,1,14.49,48.68,90.82,1
15,6,4,1.18,0,10,10,4,4,1,0.61,0.74,1.33,0.03,0.18,0.28,0.28,-0.18,4,9,0,0,1,15.58,60.03,88.49,1
7,7,3,1.71,0,20,8,5,3,0,1.96,0.53,0.91,0.03,0.18,0.27,0.15,-0.1,0,7,0,2,1,20.69,123.83,74.44,1
9,4,2,1.5,0,18,6,4,2,0,0.23,0.37,1.18,0.03,0.29,0.25,0.15,-0.22,0,5,0,0,1,14.47,51.65,90.15,1
4,7,3,0.87,1,17,6,5,2,0,0.56,0.98,0.99,0.01,0.19,0.27,0.31,-0.06,0,5,0,0,1,14.28,43.94,91.95,1
13,4,2,1.33,0,13,4,5,4,0,1.99,0.86,1.34,0.04,0.29,0.22,0.3,-0.05,0,5,0,0,1,14.85,60.15,88.62,1
15,4,2,1.38,0,16,2,5,1,0,0.81,0.78,0.58,0.02,0.25,0.21,0.22,-0.24,0,5,0,0,1,24.65,133.01,72.43,1
5,5,3,0.58,0,19,3,4,4,1,0.76,1,1.44,0.01,0.19,0.24,0.36,-0.02,0,5,0,0,1,14.27,42.12,92.31,1
9,6,2,0.74,1,8,2,7,2,0,1.19,0.43,1.45,0.03,0.19,0.3,0.19,-0.3,0,5,0,0,1,14.81,65.09,87.16,1
16,5,2,0.92,1,14,1,7,4,1,1.25,0.87,0.68,0.01,0.23,0.19,0.35,-0.02,0,5,0,0,1,14.29,43.6,91.98,1
6,6,3,0.28,1,7,7,7,4,1,1.05,0.8,0.8,0.03,0.11,0.14,0.33,-0.17,4,9,0,0,1,17.94,79.34,84.43,1
1,5,3,0.82,1,2,6,7,3,1,1.9,0.5,1.15,0.01,0.29,0.26,0.33,-0.06,0,5,0,0,1,14.28,42.6,92.15,1
18,5,3,1.96,1,3,7,7,4,1,1.02,0.44,1.28,0.03,0.11,0.18,0.1,-0.21,0,5,0,0,1,14.53,54.55,89.74,1
9,7,3,0.36,1,5,9,4,4,0,1.8,0.7,1.5,0.04,0.3,0.15,0.22,-0.22,0,5,0,0,1,14.4,51.4,90.56,1
2,5,4,1.68,1,15,8,4,1,0,1.93,0.3,0.77,0.04,0.29,0.23,0.34,-0.29,3,10,0,2,1,21.33,118.47,75.81,1
8,4,3,0.96,1,16,3,4,2,0,0.56,0.99,0.67,0.01,0.12,0.15,0.16,-0.09,1,6,0,0,1,14.48,51.37,90.33,1
5,7,1,0.37,0,20,10,6,2,1,0.71,0.45,1.3,0.03,0.14,0.16,0.35,-0.27,2,7,0,0,1,15.52,64.59,87.61,1
15,6,1,1.47,0,13,4,7,3,0,1.1,0.9,1.2,0.05,0.13,0.12,0.19,-0.25,0,5,0,0,1,14.41,55.46,89.5,1
13,5,3,0.59,1,6,4,5,3,0,1.65,0.28,0.86,0.04,0.21,0.23,0.33,-0.19,0,5,0,0,1,14.93,59.09,88.7,1
13,7,4,0.42,1,18,2,7,2,0,1.59,0.7,0.62,0.04,0.25,0.12,0.4,-0.04,1,6,0,0,1,14.39,46.27,91.5,1
3,5,3,0.21,1,18,8,4,4,1,0.43,0.1,1.49,0.02,0.2,0.3,0.3,-0.21,0,5,0,0,1,14.34,49.49,90.88,1
15,4,1,1.33,1,3,2,6,2,0,1.59,0.63,1.01,0.01,0.14,0.14,0.13,-0.06,2,7,0,0,1,14.5,51.12,90.99,1
9,5,3,1.47,0,12,6,6,2,1,1.97,0.98,0.97,0.04,0.11,0.14,0.32,-0.26,4,9,0,0,1,14.45,62.44,87.96,1
14,5,4,1.09,1,10,6,4,3,1,0.59,0.85,1.03,0.03,0.15,0.21,0.18,0,0,5,0,0,1,14.45,45.6,91.68,1
6,6,3,0.39,1,6,9,5,2,1,0.4,0.14,1.25,0.02,0.27,0.26,0.13,-0.28,4,9,0,0,1,15.88,65.26,87.98,1
11,5,3,0.6,0,13,4,6,3,0,0.25,0.1,1.11,0.04,0.24,0.12,0.21,-0.16,0,5,0,0,1,16.34,72.52,85.68,1
13,4,1,1.75,1,13,4,6,3,1,0.54,0.11,0.67,0.02,0.25,0.16,0.28,-0.07,0,5,0,0,1,14.34,46.51,91.32,1
1,5,4,0.39,1,17,1,6,2,0,1.39,0.77,0.59,0.03,0.19,0.19,0.34,-0.16,0,5,0,0,1,16.54,69.42,86.51,1
5,6,1,1.13,0,13,8,4,2,0,0.96,0.75,0.63,0.01,0.16,0.21,0.16,-0.14,0,5,0,0,1,15.04,54.11,89.95,1
12,7,3,0.65,0,18,2,5,4,0,1.9,0.33,1.32,0.05,0.22,0.11,0.38,-0.25,0,5,0,0,1,15.87,61.06,88.37,1
16,4,4,1.48,0,7,5,5,4,0,1.19,0.69,1.31,0.02,0.1,0.15,0.22,-0.19,0,5,0,0,1,14.37,48.36,90.96,1
14,4,2,1.53,0,3,2,6,2,1,1.55,0.76,0.99,0.04,0.14,0.14,0.3,-0.28,0,5,0,0,1,14.85,95.27,80.64,1
11,5,4,1.96,1,10,8,7,4,0,0.29,0.22,1.29,0.04,0.16,0.21,0.29,-0.14,1,6,0,0,1,21.16,104.72,78.55,1
17,6,3,0.37,1,9,10,5,1,0,0.3,0.94,0.59,0.03,0.11,0.24,0.25,-0.26,1,6,0,0,1,18.24,106.95,78,1
20,7,1,0.64,1,2,9,5,3,0,1.02,0.96,0.94,0.02,0.14,0.21,0.15,-0.1,2,7,0,0,1,16.06,73.77,85.48,1
19,5,2,1.29,0,19,3,5,2,0,0.2,0.97,1.14,0.04,0.28,0.24,0.36,-0.23,0,5,0,0,1,14.58,53.58,89.89,1
9,6,4,0.54,0,2,8,4,3,0,1.86,0.95,1.21,0.02,0.13,0.24,0.37,-0.06,0,5,0,0,1,14.23,42.53,92.46,1
17,7,3,1.91,0,14,3,5,1,1,1.43,0.8,1.07,0.04,0.29,0.14,0.39,-0.28,0,5,0,0,1,14.52,56,89.42,1
15,5,2,1.41,1,15,1,5,2,1,1.87,0.65,0.89,0.01,0.28,0.15,0.32,-0.08,0,5,0,0,1,14.28,44.24,91.92,1
8,6,4,1.86,1,4,2,6,3,0,1.57,0.49,0.77,0.04,0.22,0.17,0.37,-0.23,2,9,0,2,1,16.66,79.32,84.44,1
20,4,1,1.88,0,12,1,7,4,1,1.96,0.81,1.06,0.01,0.22,0.19,0.15,-0.07,0,5,0,0,1,14.47,46.89,91.37,1
4,4,2,1.05,0,20,9,6,2,1,0.71,0.24,0.84,0.01,0.21,0.14,0.12,-0.13,1,6,0,0,1,14.67,52.09,90.81,1
6,7,3,1.51,0,14,10,4,4,1,0.47,0.38,1.47,0.02,0.19,0.1,0.24,-0.03,2,7,0,0,1,14.42,46.5,91.51,1
1,6,4,1.93,0,6,10,5,2,0,1.73,0.57,0.7,0.02,0.19,0.15,0.24,-0.17,1,6,0,0,1,17.36,77.26,84.82,1
