Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
20,5,4,0.9,0.04,0,7,8,6,4,1,1.7,0.02,0.57,0.98,0.03,0.12,0.25,0.38,-0.17,84,88,2,0,0.8,15.37,91.66,84.97,0
7,7,2,0.6,0.01,0,8,9,7,1,0,0.56,0.03,0.72,0.64,0.02,0.13,0.16,0.18,-0.05,163,166,4,0,0.6,10.22,72.87,92.97,0
5,7,2,0.65,0.02,0,18,6,4,2,0,1.03,0.05,0.9,0.92,0.03,0.22,0.23,0.38,-0.3,87,91,2,0,0.8,13.9,79.89,87.83,0
20,6,4,0.81,0.02,1,20,5,7,1,1,0.65,0.03,0.74,1.27,0.04,0.18,0.27,0.26,-0.3,82,85,4,0,0.6,15.3,114.04,82.84,0
3,5,1,0.36,0.03,0,16,5,7,3,0,0.93,0.04,0.77,0.69,0.02,0.29,0.27,0.29,-0.19,89,92,5,0,0.6,12.8,141.89,81.52,0
20,7,3,1.59,0.04,0,4,1,4,1,1,1.82,0.03,0.97,0.54,0.04,0.17,0.26,0.15,-0.1,22,102,10,80,0.4,72.46,959.62,8.95,0
2,6,3,1.33,0.02,1,1,3,5,4,1,1.01,0.02,0.4,1.17,0.04,0.24,0.2,0.18,-0.05,80,84,2,0,0.8,12.78,80.07,87.32,0
6,4,1,1.35,0.02,0,19,1,6,2,1,1.51,0.03,0.95,0.79,0.04,0.24,0.21,0.33,-0.09,83,87,2,0,0.8,12.6,79.44,87.83,0
5,7,2,1.04,0.02,0,19,8,5,1,1,1.99,0.03,0.61,0.77,0.03,0.29,0.21,0.27,-0.26,0,5,0,0,1,14.97,60.5,88.44,1
2,7,3,0.73,0.02,1,13,8,7,4,1,1.95,0.04,0.35,0.62,0.03,0.17,0.25,0.16,-0.04,83,87,2,0,0.8,13.31,87.1,85.97,0
14,6,4,1.21,0.04,1,7,10,4,1,1,0.81,0.02,0.22,0.7,0.03,0.26,0.24,0.31,-0.02,83,166,4,80,0.8,12.51,88.31,89.16,0
2,4,2,0.34,0.03,1,18,5,5,4,1,1.39,0.02,0.51,0.81,0.05,0.24,0.28,0.4,-0.06,2,7,0,0,1,14.24,44.28,91.86,1
9,4,1,0.45,0.04,1,18,3,7,2,0,1.27,0.03,0.92,0.7,0.04,0.17,0.17,0.17,-0.09,80,84,2,0,0.8,11.94,63.31,91.32,0
6,7,2,0.31,0.05,1,17,3,4,1,1,0.83,0.02,0.4,0.65,0.03,0.3,0.27,0.27,-0.17,1,6,0,0,1,14.92,57.83,88.99,1
16,6,3,0.36,0.05,0,17,2,7,3,0,0.49,0.03,0.26,0.95,0.05,0.12,0.14,0.18,-0.25,2,7,0,0,1,14.54,57.96,89,1
6,7,4,1.94,0.03,0,14,8,4,3,1,1.77,0.03,0.41,0.55,0.04,0.2,0.14,0.26,-0.09,1,6,0,0,1,14.47,55.07,89.49,1
4,4,1,0.37,0.03,0,10,8,7,3,1,0.88,0.03,0.46,0.67,0.04,0.24,0.26,0.17,-0.28,1,6,0,0,1,15.91,73.69,85.34,1
9,4,2,1.73,0.04,0,8,3,6,3,0,0.63,0.02,0.72,1.25,0.01,0.24,0.2,0.12,-0.22,0,5,0,0,1,14.53,52.31,90.61,1
11,4,4,1.08,0.02,1,9,5,4,1,0,0.93,0.02,0.33,1.42,0.01,0.23,0.23,0.12,-0.15,2,7,0,0,1,14.96,53.44,89.85,1
14,6,4,1.8,0.02,1,9,6,6,4,1,1.96,0.02,0.32,0.5,0.04,0.1,0.17,0.26,-0.19,1,85,2,80,1,24.41,145.14,72.88,0
20,6,3,1.54,0.01,1,11,6,4,3,0,0.99,0.02,0.36,1.01,0.03,0.27,0.12,0.3,-0.08,0,5,0,0,1,14.45,47.16,91.3,1
18,4,2,0.96,0.03,1,4,3,4,4,1,1.98,0.04,0.29,0.73,0.02,0.29,0.23,0.32,-0.09,244,246,6,0,0.4,7.45,89.8,0,0
5,7,1,1.91,0.05,0,15,1,5,3,1,0.34,0.03,0.79,0.62,0.02,0.18,0.21,0.23,-0.2,87,91,2,0,0.8,13.77,83.58,86.87,0
5,7,4,1.16,0.03,1,12,7,7,1,1,0.72,0.04,0.6,0.95,0.02,0.21,0.17,0.35,-0.2,1,6,0,0,1,17.19,74.22,85.84,1
17,6,4,0.55,0.03,1,16,1,4,3,0,0.2,0.05,0.51,1.08,0.03,0.15,0.25,0.19,-0.23,85,89,2,0,0.8,15.02,88.77,85.67,0
20,5,4,0.72,0.03,0,6,4,7,4,0,0.21,0.05,0.19,1.46,0.03,0.26,0.21,0.12,-0.12,81,85,2,0,0.8,16.18,109.73,80.85,0
17,5,1,1.62,0.02,0,3,4,7,3,0,1.35,0.02,0.89,1.32,0.01,0.16,0.25,0.24,-0.24,0,5,0,0,1,14.35,48.38,90.96,1
7,7,1,0.49,0.02,1,6,10,5,1,0,1.23,0.02,0.79,1.12,0.03,0.22,0.12,0.25,-0.2,0,5,0,0,1,14.73,55.88,89.44,1
6,6,2,0.38,0.02,1,18,10,7,4,0,0.26,0.03,0.75,0.86,0.05,0.25,0.23,0.28,-0.26,0,5,0,0,1,16.65,70.8,85.97,1
10,7,2,1.07,0.03,0,15,8,4,3,0,1.59,0.02,0.36,0.51,0.03,0.13,0.12,0.38,-0.01,80,83,4,0,0.8,11.37,85.47,91.65,0
5,4,4,1.86,0.02,0,1,9,6,3,0,0.78,0.02,0.78,0.81,0.04,0.18,0.27,0.24,-0.13,11,16,1,0,1,33.54,336.38,29.88,1
11,5,1,1.7,0.03,1,14,8,7,4,1,1.72,0.01,0.78,0.68,0.04,0.28,0.27,0.39,-0.18,0,5,0,0,1,20,100.59,79.7,1
11,7,1,1.83,0.04,0,6,6,7,1,1,1.54,0.03,0.15,0.85,0.03,0.11,0.28,0.12,-0.08,162,165,4,0,0.8,11.56,87.59,90.48,0
14,6,2,1.78,0.04,1,20,7,5,2,1,0.94,0.05,0.72,1.31,0.03,0.21,0.11,0.27,-0.16,0,5,0,0,1,16.1,64.06,87.66,1
18,7,1,1.92,0.02,0,20,1,4,4,1,0.5,0.02,0.47,1.44,0.02,0.16,0.15,0.39,-0.17,7,12,0,0,1,14.64,55.21,89.65,1
2,4,3,1.42,0.01,0,14,3,6,2,0,1.08,0.04,0.37,1.01,0.03,0.23,0.18,0.37,-0.19,1,6,0,0,1,14.48,49.08,90.92,1
20,4,2,1.93,0.04,1,17,9,5,1,0,1.46,0.03,0.5,0.97,0.01,0.18,0.24,0.16,-0.15,83,87,2,0,0.8,13.56,70.3,89.82,0
4,5,3,0.88,0.03,0,17,3,7,1,0,0.63,0.05,0.78,1.26,0.02,0.2,0.16,0.34,-0.11,176,179,4,0,0.6,13.14,98.92,87.32,0
3,7,2,1.87,0.04,0,13,1,6,1,1,1.37,0.05,0.52,1.21,0.01,0.23,0.21,0.36,-0.24,0,5,0,0,1,14.25,46.12,91.78,1
17,6,4,0.85,0.04,1,1,7,7,3,1,1.98,0.03,0.2,1.24,0.01,0.23,0.18,0.14,-0.05,165,168,4,0,0.6,10.18,71.77,92.97,0
16,7,1,0.78,0.03,0,8,5,5,2,0,0.93,0.02,0.16,0.66,0.05,0.26,0.28,0.28,-0.11,244,246,6,0,0.4,11.21,120.04,85.67,0
5,7,2,0.54,0.03,0,2,3,7,4,1,1.56,0.01,0.97,0.71,0.03,0.12,0.15,0.31,-0.28,60,61,10,0,0.2,45.58,904.47,8.98,0
19,7,1,1.07,0.04,1,18,3,4,2,1,1.22,0.03,0.88,1.21,0.02,0.27,0.1,0.17,-0.18,81,85,2,0,0.8,13.11,77.74,87.83,0
5,6,2,1.31,0.02,0,11,9,4,4,0,1.41,0.02,0.29,1.29,0.05,0.28,0.27,0.28,-0.23,3,8,0,0,1,14.54,56.47,89.96,1
6,4,2,0.8,0.04,1,5,9,5,1,1,0.29,0.04,0.24,0.73,0.03,0.19,0.14,0.18,-0.26,4,9,0,0,1,16.79,80.99,83.86,1
5,4,2,1.45,0.03,1,14,7,5,1,1,1.19,0.05,0.49,0.68,0.02,0.15,0.11,0.35,-0.24,19,102,7,81,0.8,14.73,170.41,79.76,0
15,6,2,0.54,0.04,0,10,2,4,1,0,0.41,0.02,0.5,1.3,0.02,0.12,0.26,0.32,-0.1,0,5,0,0,1,14.59,47.85,91.29,1
14,5,1,1.58,0.05,1,17,5,4,1,0,1.4,0.05,0.49,1.2,0.03,0.21,0.21,0.11,-0.08,80,84,2,0,0.8,12.71,69.57,89.82,0
18,5,1,0.33,0.04,0,5,1,4,1,1,1.71,0.04,0.16,0.59,0.01,0.13,0.23,0.28,-0.2,0,5,0,0,1,14.49,47.79,91.02,1
4,7,4,0.55,0.02,1,17,4,7,1,0,1.02,0.02,0.12,1.29,0.04,0.22,0.25,0.33,-0.2,0,5,0,0,1,14.63,58.09,88.94,1
12,4,3,0.23,0.05,0,20,10,6,2,0,0.96,0.02,0.92,0.86,0.03,0.11,0.28,0.3,-0.19,0,5,0,0,1,16.2,61.37,88.2,1
9,5,3,0.6,0.03,1,12,3,7,1,1,1.43,0.02,0.2,0.77,0.03,0.17,0.23,0.15,-0.08,80,84,2,0,0.8,12.66,71.54,89.49,0
20,6,1,0.69,0.04,1,8,3,4,1,0,0.32,0.05,0.96,0.59,0.04,0.26,0.25,0.36,-0.18,87,91,2,0,0.8,15.97,114.15,79.98,0
7,7,3,0.87,0.04,1,4,10,5,3,1,0.3,0.02,0.78,0.64,0.01,0.16,0.17,0.21,-0.27,0,5,0,0,1,14.38,53.65,89.93,1
4,7,2,0.53,0.04,1,9,3,4,4,1,0.86,0.02,0.42,1.18,0.02,0.1,0.1,0.29,-0.14,0,5,0,0,1,14.31,45.26,91.67,1
18,4,4,1.98,0.03,1,9,8,7,2,0,0.22,0.04,0.15,0.65,0.04,0.23,0.17,0.15,-0.3,166,169,4,0,0.8,11.76,94.24,88,0
13,6,2,1.28,0.04,1,7,7,6,1,1,0.85,0.02,0.12,1.21,0.01,0.14,0.12,0.37,-0.07,0,5,0,0,1,14.22,42.33,92.32,1
10,6,2,1.87,0.04,0,19,5,7,3,0,1.48,0.03,0.36,1.21,0.03,0.25,0.12,0.22,-0.09,86,90,2,0,0.8,11.67,61.15,91.98,0
11,4,4,1.47,0.01,0,7,9,4,2,1,1,0.03,0.75,1.41,0.04,0.11,0.27,0.11,-0.09,87,171,4,81,0.8,13.03,125.56,80.98,0
16,6,4,0.51,0.03,0,16,4,4,1,1,1.29,0.04,0.83,1.02,0.02,0.28,0.19,0.14,-0.21,162,243,6,79,0.6,10.68,122.48,84.84,0
8,4,2,1.55,0.02,0,9,10,7,3,0,0.44,0.05,0.94,0.96,0.05,0.2,0.14,0.15,-0.3,93,96,4,0,0.8,14.94,138.4,79.98,0
16,7,2,0.68,0.05,1,19,3,4,2,1,0.37,0.02,0.52,1.23,0.03,0.24,0.19,0.39,-0.17,0,5,0,0,1,15.2,54.13,89.66,1
4,7,3,0.78,0.04,0,16,2,7,2,0,1.51,0.02,0.82,0.89,0.03,0.21,0.12,0.38,-0.09,83,88,2,1,0.8,12.65,67.17,90.97,0
13,6,1,1.94,0.04,1,17,9,7,4,0,1.02,0.04,0.95,1.31,0.02,0.2,0.24,0.29,-0.24,0,5,0,0,1,14.32,49.68,90.66,1
9,6,4,0.6,0.05,0,17,8,5,4,1,1.72,0.01,0.53,1.03,0.04,0.14,0.17,0.18,-0.3,0,5,0,0,1,14.42,56.93,89,1
8,7,4,0.4,0.04,1,14,9,7,1,0,0.23,0.03,1,0.5,0.04,0.22,0.26,0.22,-0.25,86,90,2,0,0.8,12.7,75.14,88.83,0
13,6,1,1.54,0.05,0,19,8,5,3,1,1.73,0.01,0.59,0.86,0.05,0.11,0.13,0.24,-0.29,83,87,2,0,0.8,13.01,78.97,87.83,0
6,6,3,0.6,0.04,1,4,5,5,2,0,1.71,0.04,0.25,1.19,0.02,0.18,0.28,0.4,-0.24,0,5,0,0,1,14.2,44.73,91.84,1
19,4,4,0.76,0.05,1,9,6,7,1,0,0.53,0.02,0.49,1.27,0.01,0.15,0.29,0.33,-0.03,0,5,0,0,1,14.27,42.74,92.32,1
19,7,1,0.96,0.02,1,13,9,7,1,1,1.82,0.03,0.3,1.06,0.02,0.16,0.14,0.34,-0.09,164,167,4,0,0.6,10.54,73.07,92.97,0
13,7,4,0.9,0.02,1,20,9,7,2,0,0.48,0.02,0.15,0.68,0.01,0.26,0.12,0.17,-0.06,243,245,6,0,0.4,8.28,89.19,92.97,0
8,7,4,0.31,0.01,1,8,9,5,1,0,1.62,0.03,0.88,0.84,0.04,0.28,0.15,0.26,-0.1,84,167,4,80,0.8,38.01,316.1,38.66,0
19,6,4,1.83,0.04,1,1,3,4,2,1,0.58,0.02,0.55,0.91,0.03,0.29,0.23,0.11,-0.27,115,198,4,80,0.8,12.94,103.78,86.99,0
11,5,4,1.85,0.05,0,4,3,5,1,1,0.89,0.04,0.89,0.86,0.04,0.14,0.27,0.38,-0.26,5,10,0,0,1,16.11,78.65,84.59,1
15,5,2,0.72,0.02,0,6,2,4,1,1,0.29,0.03,0.68,1.19,0.02,0.22,0.22,0.33,-0.26,81,85,2,0,0.8,12.53,62.18,91.65,0
15,4,3,1.78,0.04,1,3,9,7,2,0,1.28,0.01,0.96,0.91,0.03,0.14,0.27,0.2,-0.28,1,5,2,0,0.8,18.73,118.76,80.64,0
1,7,1,1.03,0.05,1,4,3,7,2,0,1.33,0.02,0.34,1.38,0.03,0.15,0.15,0.16,-0.21,0,5,0,0,1,14.44,48.68,90.86,1
12,6,1,0.39,0.03,0,2,7,4,4,1,0.28,0.02,0.28,0.91,0.01,0.12,0.12,0.18,-0.09,158,161,4,0,0.6,10.28,69.37,93.64,0
7,7,2,0.67,0.05,1,12,5,7,1,1,1.94,0.01,0.13,1.31,0.04,0.25,0.24,0.36,-0.07,0,5,0,0,1,14.99,71.79,0,0
14,4,2,0.72,0.05,1,17,4,5,3,1,0.25,0.03,0.55,1.39,0.05,0.11,0.22,0.23,-0.17,1,6,0,0,1,19.88,91.27,81.66,1
2,4,3,0.4,0.03,1,16,2,7,1,1,0.59,0.02,0.97,1.2,0.04,0.15,0.19,0.32,-0.11,80,84,2,0,0.8,15.34,84.47,86.66,0
5,7,1,0.4,0.03,0,3,7,5,3,0,1.71,0.02,0.34,1.42,0.03,0.22,0.13,0.11,-0.18,89,93,2,0,0.8,13.13,75.34,88.83,0
1,6,3,0.5,0.02,1,5,1,6,4,0,1.95,0.04,0.9,0.61,0.05,0.21,0.23,0.11,-0.16,124,126,6,0,0.6,25.78,306.21,46.13,0
11,6,1,1.27,0.03,0,15,1,7,4,0,0.91,0.05,0.31,1.29,0.02,0.14,0.11,0.35,-0.15,0,5,0,0,1,15.46,56.88,0,1
7,5,1,1.74,0.02,1,3,5,5,1,1,1.1,0.05,0.16,0.64,0.03,0.26,0.29,0.39,-0.1,184,184,15,0,0,68.9,871.5,8.94,0
8,5,4,0.95,0.04,1,18,7,7,1,1,0.74,0.01,0.4,1.36,0.04,0.23,0.2,0.35,-0.28,161,164,4,0,0.6,10.48,76.6,91.65,0
12,4,3,1.65,0.02,0,18,3,5,2,0,1.28,0.05,0.64,1.43,0.03,0.19,0.12,0.24,-0.16,23,106,4,80,0.8,32.69,272.21,50.95,0
13,7,2,0.58,0.04,0,1,10,5,3,1,0.52,0.01,0.45,1.16,0.02,0.22,0.27,0.27,-0.05,3,8,0,0,1,14.36,43.66,92,1
11,4,4,1.74,0.03,0,12,3,7,3,0,0.84,0.01,0.21,0.74,0.04,0.11,0.2,0.16,-0.01,262,344,8,81,0.4,7.8,138.94,85.67,0
10,6,2,1.78,0.05,0,8,1,4,3,0,1.41,0.02,0.92,0.94,0.01,0.22,0.13,0.13,-0.25,0,5,0,0,1,15.22,57.72,88.83,1
11,7,3,1.86,0.02,1,12,7,4,4,0,0.64,0.01,0.86,0.93,0.04,0.24,0.27,0.22,-0.06,0,5,0,0,1,14.56,51.45,90.36,1
7,7,2,0.75,0.03,1,2,7,5,1,1,1.45,0.03,0.52,0.8,0.02,0.14,0.29,0.23,-0.26,0,5,0,0,1,14.37,53.87,89.94,1
3,7,3,0.94,0.05,0,9,4,6,1,1,1.4,0.03,0.48,1.05,0.04,0.21,0.13,0.31,-0.21,0,5,0,0,1,19,89.15,81.88,1
2,7,2,1.56,0.05,0,3,6,7,4,0,1.43,0.02,0.51,1.2,0.04,0.22,0.17,0.15,-0.25,2,7,2,1,0.8,17.28,1102.65,8.98,0
15,4,2,1.52,0.01,0,11,4,5,1,1,0.97,0.05,0.23,0.79,0.03,0.16,0.21,0.38,-0.22,79,83,2,0,0.8,13.63,76.73,88.49,0
6,5,2,1.42,0.04,0,11,5,6,2,1,0.92,0.04,0.69,1.28,0.02,0.15,0.14,0.21,-0.08,165,168,4,0,0.6,10.07,74.38,92.31,0
17,7,2,1.94,0.02,1,8,3,4,4,0,1.83,0.04,0.94,1.31,0.05,0.21,0.17,0.12,-0.12,247,328,8,80,0.6,15.67,201.45,71.54,0
4,4,4,1.91,0.03,0,2,10,4,4,1,0.71,0.03,0.84,0.64,0.04,0.27,0.21,0.17,-0.18,84,165,8,80,0.4,47.35,490.19,7.95,0
16,7,4,0.92,0.02,0,13,5,4,3,0,0.92,0.03,0.66,0.69,0.02,0.24,0.3,0.11,-0.16,0,5,0,0,1,15.22,63.2,87.91,1
15,5,2,1.73,0.02,1,11,5,7,3,0,1.17,0.04,0.94,1.04,0.03,0.21,0.11,0.26,-0.26,2,7,0,0,1,14.72,63.18,87.69,1
11,7,2,1.27,0.02,0,5,1,7,4,1,1.67,0.02,0.25,1.45,0.04,0.26,0.18,0.38,-0.18,0,5,0,0,1,15.15,56,89.32,1
6,6,3,1.04,0.02,0,17,9,7,2,1,1.9,0.03,0.75,1.01,0.02,0.3,0.21,0.38,-0.29,0,5,0,0,1,14.65,58.73,88.69,1
20,4,2,0.74,0.05,1,16,7,5,3,0,0.27,0.04,0.53,1.48,0.02,0.23,0.28,0.21,-0.09,89,93,2,0,0.8,12.44,69.78,89.98,0
1,4,2,1.92,0.02,1,13,3,5,4,0,0.49,0.05,0.62,1.38,0.02,0.21,0.27,0.18,-0.13,79,83,2,0,0.8,13.15,68.95,89.82,0
19,4,4,1.07,0.02,0,1,2,7,1,0,1.64,0.04,0.1,1.26,0.04,0.15,0.2,0.2,-0.16,84,88,2,0,0.8,13.94,106.31,81.85,0
16,4,3,0.77,0.03,1,10,3,5,4,1,0.83,0.03,0.66,1.2,0.01,0.14,0.1,0.3,-0.23,0,5,0,0,1,14.28,45.79,91.72,1
4,6,4,0.4,0.02,0,7,4,6,3,0,1.67,0.02,0.19,1.4,0.01,0.18,0.12,0.26,-0.27,2,7,0,0,1,14.88,54.19,89.8,1
17,6,1,1.04,0.03,1,18,8,4,1,1,1.72,0.01,0.9,0.84,0.04,0.29,0.24,0.31,-0.3,0,4,2,0,0.8,16.42,115.1,81.19,0
6,7,2,1.45,0.02,1,5,2,7,3,1,0.87,0.03,0.99,1.14,0.02,0.14,0.14,0.17,-0.18,3,8,0,0,1,16.27,70.96,86,1
5,6,4,0.48,0.04,1,10,8,7,3,1,0.91,0.03,0.84,0.8,0.03,0.18,0.14,0.38,-0.22,3,8,0,0,1,21,106.93,78.36,1
14,5,3,1.72,0.04,0,5,1,5,2,1,1.57,0.03,0.7,0.66,0.01,0.23,0.26,0.34,-0.25,82,86,2,0,0.8,12.14,62.3,91.65,0
6,6,2,1.2,0.04,0,18,2,7,3,1,1.16,0.04,0.68,0.83,0.01,0.18,0.11,0.34,-0.02,0,5,0,0,1,14.28,42.9,92.16,1
13,6,4,0.97,0.05,0,11,1,4,2,1,1.96,0.05,0.32,0.54,0.02,0.16,0.19,0.38,-0.22,95,99,2,0,0.8,23.79,151.6,71.94,0
3,6,2,0.91,0.01,0,11,6,5,2,1,0.3,0.02,0.83,1.06,0.02,0.14,0.28,0.39,-0.21,0,5,0,0,1,14.49,48.68,90.82,1
12,6,3,0.41,0.02,0,14,4,7,1,1,0.77,0.02,0.73,0.74,0.03,0.15,0.2,0.27,-0.05,83,87,2,0,0.8,12.56,74.48,88.83,0
15,6,4,1.18,0.01,0,10,10,4,4,1,0.61,0.01,0.74,1.33,0.03,0.18,0.28,0.28,-0.18,4,9,0,0,1,15.58,60.03,88.49,1
7,7,3,1.71,0.03,0,20,8,5,3,0,1.96,0.04,0.53,0.91,0.03,0.18,0.27,0.15,-0.1,0,7,0,2,1,20.69,123.83,74.44,1
4,5,1,0.59,0.03,1,15,1,6,4,0,0.35,0.05,0.14,0.69,0.03,0.24,0.23,0.21,-0.02,123,205,6,80,0.8,11.78,109.52,88,0
9,4,1,1.82,0.02,0,18,2,4,3,0,1.41,0.03,0.49,1.04,0.04,0.28,0.21,0.38,-0.07,80,84,2,0,0.8,11.89,64.98,90.99,0
15,6,4,0.54,0.01,1,8,6,6,4,0,1.06,0.03,0.22,0.72,0.05,0.25,0.2,0.23,-0.21,1,85,2,80,1,30.1,192.99,62.25,0
13,7,2,1.4,0.02,1,18,9,4,1,0,1.97,0.03,0.11,1.43,0.01,0.25,0.2,0.11,-0.23,13,96,4,80,1,17.07,146.86,78.2,0
19,7,1,1.62,0.05,0,20,10,6,2,0,1.4,0.05,0.28,0.78,0.04,0.29,0.22,0.37,-0.12,238,240,6,0,0.4,15.57,148.76,78.86,0
9,4,2,1.5,0.02,0,18,6,4,2,0,0.23,0.02,0.37,1.18,0.03,0.29,0.25,0.15,-0.22,0,5,0,0,1,14.47,51.65,90.15,1
20,5,4,0.32,0.03,1,11,4,7,1,0,1.66,0.04,0.64,0.7,0.05,0.2,0.23,0.29,-0.15,166,169,4,0,0.6,26.78,206.03,63.91,0
16,6,2,1.48,0.02,0,8,7,5,1,0,0.58,0.04,0.48,0.84,0.04,0.3,0.14,0.18,-0.07,83,166,4,80,0.8,12.44,99.35,86.87,0
4,7,3,0.87,0.02,1,17,6,5,2,0,0.56,0.03,0.98,0.99,0.01,0.19,0.27,0.31,-0.06,0,5,0,0,1,14.28,43.94,91.95,1
13,4,2,1.33,0.03,0,13,4,5,4,0,1.99,0.01,0.86,1.34,0.04,0.29,0.22,0.3,-0.05,0,5,0,0,1,14.85,60.15,88.62,1
19,4,3,0.3,0.03,1,20,6,6,4,0,0.35,0.03,0.52,0.89,0.03,0.17,0.19,0.24,-0.05,80,84,2,0,0.8,12.69,82.5,86.99,0
9,5,4,1.79,0.02,0,4,10,5,4,1,1.9,0.03,0.12,0.57,0.01,0.12,0.11,0.14,-0.1,82,86,2,0,0.8,13.54,71.65,89.95,0
15,4,2,1.38,0.02,0,16,2,5,1,0,0.81,0.03,0.78,0.58,0.02,0.25,0.21,0.22,-0.24,0,5,0,0,1,24.65,133.01,72.43,1
2,7,1,1.09,0.03,0,1,3,7,3,1,1.95,0.03,0.27,0.67,0.02,0.19,0.1,0.24,-0.14,80,84,2,0,0.8,12.55,67.2,90.48,0
2,4,3,1.25,0.01,0,1,8,4,2,1,1.46,0.03,0.42,0.72,0.05,0.19,0.29,0.31,-0.06,46,46,21,0,0,48.93,1270.39,8.92,0
10,5,1,0.56,0.05,0,4,7,6,1,0,1.73,0.05,0.29,1.21,0.04,0.14,0.11,0.29,-0.16,81,87,2,2,0.8,13.32,77.14,88.49,0
16,4,3,1.93,0.02,0,5,9,6,4,1,1.56,0.05,0.9,0.55,0.02,0.26,0.21,0.11,-0.16,397,397,10,0,0.2,5.76,127.82,90.48,0
19,6,3,1.39,0.03,1,1,4,6,1,0,0.66,0.02,0.79,0.79,0.05,0.14,0.13,0.32,-0.01,172,172,16,0,0.2,7.97,654.33,8.95,0
3,5,1,0.3,0.03,1,5,6,5,4,1,0.58,0.04,0.52,1.37,0.05,0.13,0.17,0.13,-0.24,80,84,2,0,0.8,14.47,93.88,84.68,0
5,5,3,0.58,0.03,0,19,3,4,4,1,0.76,0.04,1,1.44,0.01,0.19,0.24,0.36,-0.02,0,5,0,0,1,14.27,42.12,92.31,1
6,6,1,0.42,0.04,0,6,7,7,4,0,1.88,0.05,0.19,0.67,0.03,0.13,0.25,0.4,-0.16,88,171,4,80,0.8,18.36,140.48,77.86,0
14,7,1,1.61,0.02,0,19,10,6,2,1,1.06,0.02,0.88,0.96,0.03,0.17,0.16,0.32,-0.18,3,7,2,0,0.8,17.2,105.72,83.7,0
9,6,2,0.74,0.04,1,8,2,7,2,0,1.19,0.01,0.43,1.45,0.03,0.19,0.3,0.19,-0.3,0,5,0,0,1,14.81,65.09,87.16,1
8,7,2,1.76,0.04,0,1,7,5,2,0,1.11,0.05,0.74,0.83,0.05,0.24,0.12,0.1,-0.07,3,5,7,0,0.4,12.34,195.65,75.87,0
6,6,1,1.43,0.05,0,15,3,4,4,0,1.29,0.02,0.67,0.78,0.03,0.2,0.17,0.3,-0.18,143,225,6,80,0.6,13.16,126.27,83.97,0
1,5,1,1.64,0.03,0,2,1,7,1,1,1.75,0.04,0.2,1.14,0.02,0.3,0.21,0.27,-0.1,79,83,2,0,0.8,13.74,76.62,88.49,0
17,5,2,0.88,0.01,1,3,5,4,3,1,1.86,0.03,0.37,1.09,0.03,0.26,0.1,0.35,-0.3,86,90,2,0,0.8,12.06,78.86,88,0
6,7,4,1.23,0.01,0,7,5,7,1,0,0.34,0.03,0.77,1.14,0.03,0.2,0.23,0.19,-0.11,319,320,8,0,0.2,7.49,121.05,0,0
3,7,3,1.78,0.04,1,12,6,5,1,1,1.8,0.04,0.52,0.82,0.01,0.12,0.21,0.22,-0.05,81,85,2,0,0.8,12.57,58.24,92.31,0
16,5,2,0.92,0.03,1,14,1,7,4,1,1.25,0.04,0.87,0.68,0.01,0.23,0.19,0.35,-0.02,0,5,0,0,1,14.29,43.6,91.98,1
6,6,3,0.28,0.03,1,7,7,7,4,1,1.05,0.02,0.8,0.8,0.03,0.11,0.14,0.33,-0.17,4,9,0,0,1,17.94,79.34,84.43,1
16,6,1,0.89,0.04,1,4,9,6,4,0,0.99,0.04,0.11,0.51,0.04,0.13,0.17,0.33,-0.18,160,161,8,0,0.4,26.35,271.92,58.59,0
1,5,3,0.82,0.01,1,2,6,7,3,1,1.9,0.01,0.5,1.15,0.01,0.29,0.26,0.33,-0.06,0,5,0,0,1,14.28,42.6,92.15,1
18,5,3,1.96,0.05,1,3,7,7,4,1,1.02,0.02,0.44,1.28,0.03,0.11,0.18,0.1,-0.21,0,5,0,0,1,14.53,54.55,89.74,1
12,5,3,1.29,0.02,0,8,4,7,2,1,0.35,0.04,0.2,1.45,0.03,0.29,0.19,0.24,-0.26,96,100,2,0,0.8,13.8,85.43,86.99,0
7,7,3,0.94,0.04,0,15,7,4,1,0,0.7,0.02,0.44,1.2,0.03,0.18,0.22,0.2,-0.06,160,242,6,80,0.6,10.43,101.72,89.82,0
9,7,3,0.36,0.02,1,5,9,4,4,0,1.8,0.01,0.7,1.5,0.04,0.3,0.15,0.22,-0.22,0,5,0,0,1,14.4,51.4,90.56,1
19,7,4,1.84,0.03,0,3,2,7,4,1,0.81,0.03,0.33,0.72,0.03,0.28,0.16,0.2,-0.16,87,87,10,0,0.2,24.67,376.14,38.66,0
19,5,4,1.02,0.04,0,1,2,6,2,1,1.38,0.04,0.22,0.83,0.02,0.27,0.18,0.16,-0.17,88,92,2,0,0.8,14.67,87.36,86,0
